"angle","fre_sum","freq_diff","freq_1D","freq_2D"
136.8,42810.6044270941,-871422.411069757,-414305.903321331,457116.507748425
140.4,41732.9746693706,-1359809.3352197,-659038.180275166,700771.154944536
144,39796.78534104,-1836596.5881208,-898399.901389882,938196.686730922
147.6,37116.456789095,-2294267.04224731,-1128575.29272911,1165691.7495182
151.2,33853.4563400331,-2725605.93414823,-1345876.2389041,1379729.69524413
154.8,30206.2622812926,-3123814.45877174,-1546804.09824522,1577010.36052651
158.4,26397.9960068627,-3482616.76027471,-1728109.38213392,1754507.37814078
162,22662.4978162823,-3796358.64648588,-1886848.0743348,1909510.57215108
165.6,19229.7197722616,-4060096.4865439,-2020433.38338582,2039663.10315808
169.2,16311.3520826558,-4269674.90685412,-2126681.77738573,2142993.12946839
172.8,14087.5849694554,-4421792.07689548,-2203852.24596301,2217939.83093247
176.4,12695.8368294258,-4514051.57079591,-2250677.86698324,2263373.70381267
180,12222.1561462656,-4545000,-2266388.92192687,2278611.07807313
183.6,12695.8368294267,-4514149.83361769,-2250726.99839413,2263422.83522356
187.2,14087.5849694554,-4421987.05287563,-2203949.73395309,2218037.31892254
190.8,16311.3520826567,-4269963.52110497,-2126826.08451116,2143137.43659381
194.4,19229.7197722616,-4060474.1874463,-2020622.23383702,2039851.95360928
198,22662.4978162823,-3796819.47747097,-1887078.48982735,1909740.98764363
201.6,26397.9960068632,-3483153.45376257,-1728377.72887785,1754775.72488471
205.2,30206.262281293,-3124418.55078546,-1547106.14425208,1577312.40653338
208.8,33853.4563400331,-2726267.89779589,-1346207.22072793,1380060.67706796
212.4,37116.456789095,-2294976.43796674,-1128929.99058882,1166046.44737792
216,39796.7853410402,-1837342.22831775,-898772.721488354,938569.506829394
219.6,41732.9746693706,-1360579.46070282,-659423.243016727,701156.217686098
223.2,42810.6044270941,-872204.87650014,-414697.136036523,457507.740463617
226.8,42969.3765574592,-379919.35457538,-168474.98900896,211444.36556642
230.4,42206.7871291243,108513.468313581,75360.1277213526,-33153.3405922282
234,40578.1658246504,585389.634706137,312983.900265393,-272405.734440743
237.6,38193.0824595612,1043186.43031487,540689.756387214,-502496.673927653
241.2,35208.3481673873,1474681.15318881,754944.750678098,-719736.402510711
244.8,31818.0528120438,1873065.20684298,952441.629827513,-920623.577015469
248.4,28241.2663415046,2232051.70629972,1130146.48632061,-1101905.21997911
252,24708.1784805204,2545974.8855529,1285341.53201671,-1260633.35353619
255.6,21445.5491599911,2809879.72243259,1415662.63579629,-1394217.0866363
259.2,18662.3852407602,3019600.35031965,1519131.36778021,-1500468.98253944
262.8,16536.7447005906,3171826.00326797,1594181.37398428,-1577644.62928369
266.4,15204.4984215763,3264153.43902548,1639678.96872353,-1624474.47030195
270,14750.7565075206,3295125,1654937.87825376,-1640187.12174624
273.6,15204.4984215763,3264251.70184726,1639728.10013442,-1624523.60171284
277.2,16536.7447005906,3172020.97924814,1594278.86197436,-1577742.11727377
280.8,18662.3852407602,3019888.96457051,1519275.67490564,-1500613.28966488
284.4,21445.5491599911,2810257.42333501,1415851.4862475,-1394405.93708751
288,24708.1784805204,2546435.71653802,1285571.94750927,-1260863.76902875
291.6,28241.2663415046,2232588.39978761,1130414.83306456,-1102173.56672305
295.2,31818.0528120438,1873669.29885674,952743.67583439,-920925.623022346
298.8,35208.3481673873,1475343.1168365,755275.732501946,-720067.384334558
302.4,38193.0824595612,1043895.82603434,541044.454246951,-502851.37178739
306,40578.1658246504,586135.274903121,313356.720363886,-272778.554539235
309.6,42206.7871291243,109283.593796746,75745.1904629353,-33538.403333811
313.2,42969.3765574593,-379136.889144952,-168083.756293746,211053.132851205
316.8,42810.6044270941,-871422.411069708,-414305.903321307,457116.507748401
320.4,41732.9746693706,-1359809.33521965,-659038.18027514,700771.15494451
324,39796.7853410402,-1836596.58812075,-898399.901389855,938196.686730895
327.6,37116.4567890954,-2294267.04224726,-1128575.29272908,1165691.74951818
331.2,33853.4563400336,-2725605.93414818,-1345876.23890407,1379729.69524411
334.8,30206.262281293,-3123814.45877169,-1546804.0982452,1577010.36052649
338.4,26397.9960068632,-3482616.76027466,-1728109.3821339,1754507.37814076
342,22662.4978162828,-3796358.64648584,-1886848.07433478,1909510.57215106
345.6,19229.719772262,-4060096.48654387,-2020433.3833858,2039663.10315806
349.2,16311.3520826567,-4269674.90685409,-2126681.77738572,2142993.12946837
352.799999999999,14087.5849694554,-4421792.07689546,-2203852.245963,2217939.83093246
356.4,12695.8368294267,-4514051.5707959,-2250677.86698324,2263373.70381266
359.999999999999,12222.1561462656,-4545000,-2266388.92192687,2278611.07807313
