"angle","fre_sum","freq_diff","freq_1D","freq_2D"
284.4,38805.5513051618,890966.974418989,464886.262862075,-426080.711556914
288,39815.3227623313,695860.433462542,367837.878112437,-328022.555350106
291.6,40826.3490041149,463790.46915252,252308.409078317,-211482.060074203
295.2,41729.2434705903,198419.350293061,120074.296881826,-78345.0534112352
298.8,42414.8276547055,-96065.4369663449,-26825.3046558197,69240.1323105252
302.4,42781.8182993156,-415017.380665614,-186117.781183149,228899.599482465
306,42744.1093319359,-753404.366508757,-355330.12858841,398074.237920346
309.6,42237.1765100826,-1105888.16622264,-531825.494856277,574062.67136636
313.2,41223.1866693252,-1466908.72912101,-712842.771225843,754065.957895168
316.8,39694.4739039727,-1830771.94097844,-895538.733537234,935233.207441206
320.4,37675.1469275425,-2191739.46158258,-1077032.15732752,1114707.30425506
324,35220.7088639494,-2544119.22178727,-1254449.25646166,1289669.96532561
327.6,32415.6954655242,-2882355.15287375,-1424969.72870411,1457385.42416964
331.2,29369.4624046204,-3201114.73552024,-1585872.63655781,1615242.09896243
334.8,26210.3690071283,-3495372.99230186,-1734581.31164737,1760791.68065449
338.4,23078.7072480912,-3760491.60567611,-1868706.44921401,1891785.1564621
342,20118.8046261654,-3992291.92181596,-1986086.5585949,2006205.36322106
345.6,17470.7826459911,-4187120.69810018,-2084824.95772709,2102295.74037308
349.2,15262.4757093079,-4341907.56695819,-2163322.54562444,2178585.02133375
352.799999999999,13602.0067746872,-4454213.31925368,-2220305.6562395,2233907.66301418
356.4,12571.4766964838,-4522268.25442934,-2254848.38886643,2267419.86556291
359.999999999999,12222.1561462656,-4545000,-2266388.92192687,2278611.07807313
