"angle","fre_sum","freq_diff","freq_1D","freq_2D"
198,35179.0565222926,1445162.8676058,740170.962064046,-704991.905541753
201.6,34553.147786109,1527016.58158717,780784.86468664,-746231.716900531
205.2,33805.7912807323,1620626.57732248,827216.184301607,-793410.393020875
208.8,32936.9469131781,1724516.84407757,878726.895495376,-845789.948582198
212.4,31949.0471111541,1837049.23216937,934499.139640264,-902550.09252911
216,30847.6665831287,1956449.27110979,993648.468846458,-962800.802263329
219.6,29642.0630566638,2080834.13945676,1055238.10125671,-1025596.03820005
223.2,28345.5409665434,2208242.34618913,1118293.94357784,-1089948.40261129
226.8,26975.6003315556,2336664.65625646,1181820.12829401,-1154844.52796245
230.4,25553.8459338774,2464075.77311321,1244814.80952355,-1219260.96358967
234,24105.6465987526,2588466.27885515,1306285.96272695,-1282180.3161282
237.6,22659.549947829,2707874.32824284,1365266.93909533,-1342607.3891475
241.2,21246.4734904468,2820416.59650837,1420831.53499941,-1399585.06150896
244.8,19898.7073480212,2924317.99235599,1472108.349852,-1452209.64250398
248.4,18648.776364726,3017939.66682081,1518294.22159277,-1499645.44522804
252,17528.2190503646,3099804.87535116,1558666.54720076,-1541138.3281504
255.6,16566.3471060665,3168622.28422016,1592594.31566311,-1576027.96855705
259.2,15789.0517871194,3223306.35262556,1619547.70220634,-1603758.65041922
262.8,15217.721882212,3262994.46797197,1639106.09492709,-1623888.37304488
266.4,14868.3327042866,3287060.56311822,1650964.44791126,-1636096.11520697
270,14750.7565075206,3295125,1654937.87825376,-1640187.12174624
273.6,14868.3327042866,3287060.56311822,1650964.44791126,-1636096.11520697
277.2,15217.721882212,3262994.46797198,1639106.09492709,-1623888.37304488
280.8,15789.0517871194,3223306.35262556,1619547.70220634,-1603758.65041922
284.4,16566.3471060665,3168622.28422016,1592594.31566311,-1576027.96855705
288,17528.2190503641,3099804.87535116,1558666.54720076,-1541138.3281504
291.6,18648.776364726,3017939.66682081,1518294.22159277,-1499645.44522804
295.2,19898.7073480212,2924317.99235599,1472108.34985201,-1452209.64250398
298.8,21246.4734904468,2820416.59650837,1420831.53499941,-1399585.06150896
302.4,22659.549947829,2707874.32824284,1365266.93909533,-1342607.38914751
306,24105.6465987526,2588466.27885515,1306285.96272695,-1282180.3161282
309.6,25553.8459338774,2464075.77311321,1244814.80952355,-1219260.96358967
313.2,26975.6003315556,2336664.65625646,1181820.12829401,-1154844.52796245
316.8,28345.5409665434,2208242.34618913,1118293.94357784,-1089948.40261129
320.4,29642.0630566636,2080834.13945676,1055238.10125671,-1025596.03820005
324,30847.6665831287,1956449.27110979,993648.46884646,-962800.802263331
327.6,31949.0471111541,1837049.23216938,934499.139640267,-902550.092529112
331.2,32936.9469131781,1724516.84407758,878726.895495379,-845789.948582201
334.8,33805.7912807323,1620626.57732249,827216.18430161,-793410.393020877
338.4,34553.1477861088,1527016.58158718,780784.864686643,-746231.716900534
342,35179.0565222926,1445162.8676058,740170.962064048,-704991.905541756
345.6,35685.2863775089,1376356.04686045,706020.66661898,-670335.380241471
349.2,36074.575764664,1321680.99486262,678877.785313641,-642803.209548977
352.799999999999,36349.9157347486,1281999.75767365,659174.836704198,-622824.920969449
356.4,36513.9291109999,1257937.97025479,647225.949682895,-610712.020571895
359.999999999999,36568.3914826245,1249875,643221.695741312,-606653.304258688
