"angle","fre_sum","freq_diff","freq_1D","freq_2D"
144,28424.8897886381,1956448.93039037,992436.910089505,-964012.020300867
147.6,29756.0810652622,1837047.75895587,933401.920010568,-903645.838945306
151.2,31027.4319708585,1724514.19171692,877770.811843891,-846743.379873033
154.8,32215.5575216601,1620622.82089248,826419.189207072,-794203.631685412
158.4,33297.9636789826,1527011.92496316,780154.944321073,-746856.980642091
162,34253.6381339515,1445157.6411201,739705.639627023,-705452.001493072
165.6,35063.6293818885,1376350.69539643,705707.162389158,-670643.53300727
169.2,35711.5893902385,1321676.05688036,678693.8231353,-642982.233745062
172.8,36184.2559835385,1281995.83629646,659090.04614,-622905.790156462
176.4,36471.8532275725,1257935.6981139,647203.775670736,-610731.922443163
180,36568.3914826245,1249875,643221.695741312,-606653.304258688
183.6,36471.8532275725,1257940.81475334,647206.333990455,-610734.480762882
187.2,36184.2559835385,1282005.92874184,659095.092362688,-622910.83637915
190.8,35711.5893902385,1321690.84829423,678701.218842233,-642989.629451994
194.4,35063.6293818885,1376369.78242603,705716.705903961,-670653.076522073
198,34253.6381339515,1445180.50771026,739717.072922104,-705463.434788152
201.6,33297.9636789823,1527037.96000588,780167.961842429,-746869.998163447
205.2,32215.5575216601,1620651.33909055,826433.448306107,-794217.890784447
208.8,31027.4319708582,1724544.45692561,877785.944448236,-846758.512477378
212.4,29756.081065262,1837079.00917934,933417.545122299,-903661.464057037
216,28424.8897886379,1956480.40355165,992452.646670146,-964027.756881508
219.6,27057.5557230666,2080865.73810525,1053961.64691416,-1026904.09119109
223.2,25677.5454279073,2208273.48885237,1116975.51714014,-1091297.97171223
226.8,24307.6047929199,2336694.43881212,1180501.02180252,-1156193.4170096
230.4,22969.3386002802,2464103.36107115,1243536.34983572,-1220567.01123544
234,21682.8698042617,2588490.95636868,1305086.91308647,-1283404.04328221
237.6,20466.5839019371,2707895.54158135,1364181.06274164,-1343714.47883971
241.2,19336.9585481272,2820433.98927935,1419885.47391374,-1400548.51536561
244.8,18308.4735889491,2924331.43020954,1471319.95189925,-1453011.4783103
248.4,17393.5922575998,3017949.24995945,1517671.42110852,-1500277.82885092
252,16602.8006620235,3099810.93786715,1558206.86926458,-1541604.06860256
255.6,15944.6901104464,3168625.38005073,1592285.03508059,-1576340.34497014
259.2,15426.0654126941,3223307.2287066,1619366.64705965,-1603940.58164695
262.8,15052.0621310016,3262994.0259354,1639023.0440332,-1623970.9819022
266.4,14826.2568208589,3287059.81157095,1650943.0341959,-1636116.77737504
270,14750.7565075206,3295125,1654937.87825376,-1640187.12174624
273.6,14826.2568208589,3287062.36989066,1650944.31335576,-1636118.0565349
277.2,15052.0621310016,3262999.07215809,1639025.56714455,-1623973.50501354
280.8,15426.0654126941,3223314.62441353,1619370.34491311,-1603944.27950042
284.4,15944.6901104464,3168634.92356553,1592289.80683799,-1576345.11672754
288,16602.8006620235,3099822.37116222,1558212.58591212,-1541609.7852501
291.6,17393.5922575998,3017962.2674808,1517677.9298692,-1500284.3376116
295.2,18308.4735889491,2924345.68930858,1471327.08144876,-1453018.60785981
298.8,19336.9585481272,2820449.12188369,1419893.04021591,-1400556.08166778
302.4,20466.5839019371,2707911.16669308,1364188.87529751,-1343722.29139557
306,21682.8698042617,2588506.69294931,1305094.78137679,-1283411.91157253
309.6,22969.3386002802,2464118.84085941,1243544.08972985,-1220574.75112957
313.2,24307.6047929199,2336709.31862301,1180508.46170797,-1156200.85691505
