,angle,freq_sum,freq_diff,freq5232,freq3212,freq1212,freq1232,freq3252,acs,csa,acs_anti
30,168.7500000000001,38923.82418159164,0.0,30568.578802596698,19174.821927056026,7782.914943916842,-3607.1421468208564,-14995.349345157068,24.26186823307645,-6.8347766542962525,-24.26186823307645
31,174.37500000000014,44185.411503948344,0.0,29249.791991255726,19040.9171804936,8834.562335260576,-1369.2725444433595,-11570.5874586182,29.610873920866027,-7.210310188144152,-29.610873920866027
32,180.0000000000001,47609.86333502122,0.0,26865.874508009627,18190.695638303398,9518.744717800708,850.0217465015542,-7815.473275594062,34.122959967952,-7.115737317955016,-34.122959967952
33,185.6250000000001,49065.45884290695,0.0,23508.289009178297,16656.82607944373,9809.227459145273,2965.4931482829347,-3874.376853143286,37.62472943795187,-6.598107799902046,-37.62472943795187
34,191.25000000000014,48496.145565887135,0.0,19305.887004710028,14498.231492690984,9694.902546924683,4895.900167411125,101.22435415031399,39.98161129394846,-5.754958123460895,-39.98161129394846
35,196.87500000000014,45923.710945627136,0.0,14419.984359858317,11797.828163949944,9180.207078583499,6567.121103758982,3958.570239476392,41.1030318879704,-4.718742601433217,-41.1030318879704
36,202.50000000000017,41446.95889406491,0.0,9038.189433567051,8659.344927485283,8284.946100108247,7914.992951435949,7549.485481468388,40.945895655489366,-3.6365111322054524,-40.945895655489366
37,208.12500000000017,35237.9209301268,0.0,3367.216860813086,5203.343951102853,7043.527613708989,8887.767848631496,10736.064655870376,39.51624125379656,-2.647933554489204,-39.51624125379656
38,213.75000000000014,27535.246254628168,0.0,-2375.0404313208805,1562.5949046129388,5503.639745736196,9448.09409204889,13395.957943551022,36.86900949978961,-1.8650003786534817,-36.86900949978961
39,219.37500000000017,18635.02460404316,0.0,-7967.878733130363,-2123.0208324266146,3724.4209945428834,9574.446747778129,15427.056427279123,33.10593202519036,-1.356453220695423,-33.10593202519036
40,225.00000000000017,8879.395467843955,0.0,-13196.269941090568,-5711.88108050581,1774.1934368238685,9261.953610898468,16751.399441717997,28.37162178698948,-1.1392583895689408,-28.37162178698948
41,230.6250000000002,-1356.6167287952558,0.0,-17859.139957550236,-9066.063194848668,-272.154888953075,8522.584960136543,17318.156352420185,22.848015672609264,-1.1783471870210556,-22.848015672609264
42,236.25000000000017,-11679.533034921664,0.0,-21777.118684928297,-12056.645079681364,-2336.0390407093814,7384.699431987649,17105.57033840973,16.747382767351368,-1.3945731751000674,-16.747382767351368
43,241.87500000000014,-21692.558617753064,0.0,-24799.46031091535,-14568.66305679707,-4338.188763114702,5891.962570131755,16121.790942942302,10.304166972490496,-1.6795743667652316,-10.304166972490496
44,247.5000000000001,-31010.845211630018,0.0,-26809.863802121483,-16505.53553283595,-6201.688152938216,4101.678337571732,14404.563938693893,3.765977457626092,-1.915169609060087,-3.765977457626092
45,253.12500000000009,-39276.28873668145,0.0,-27730.96575393172,-17792.781601864623,-7854.9275985669055,2082.596255961427,12019.789961720375,-2.6159268208445288,-1.9942248186750025,2.6159268208445288
46,258.75000000000006,-46171.29218748362,0.0,-27527.32936632775,-18380.890609781804,-9234.355145366288,-87.72297308120832,9059.005907073433,-8.596292860512897,-1.8397019197810793,8.596292860512897
47,264.37500000000006,-51430.964716589064,0.0,-26206.812253747372,-18247.231292685396,-10286.92163747061,-2325.8832881030316,5635.883755417345,-13.945298548302464,-1.41888520760162,13.945298548302464
48,270.00000000000006,-54853.289021104654,0.0,-23820.259612358615,-17396.926136827078,-10972.125232758237,-4545.856900152091,1881.8788609913597,-18.45738459538843,-0.7505233055188311,18.45738459538843
49,275.62500000000006,-56306.868165759355,0.0,-20459.535277420837,-15862.656650588193,-11263.57582845371,-6662.292811017389,-2058.80759827923,-21.959154065388294,0.09628363958301543,21.959154065388294
