,angle,freq_sum,freq_diff,freq_3212,freq_1212,freq_1232,acs,csa,acs_anti
13,73.12500000000001,21477.07870953437,-1423468.2826318708,-704617.464930189,7243.7259380415035,718850.8177016819,-590.2933725833273,1.63974713278023,590.2933725833273
14,78.75000000000001,20979.671858187998,-1488559.6484940457,-737367.0463681086,7154.116100359482,751192.6021259371,-406.6011468879073,0.777997612473232,406.6011468879073
15,84.37500000000003,20670.141364496434,-1528470.4028299227,-757451.673750314,7103.086035201751,771018.7290796087,-207.28346714213546,0.20219499176689343,207.28346714213546
16,90.00000000000001,20565.069900074042,-1541666.6666666665,-764094.0833333333,7086.569900074055,777572.5833333333,1.108251484566809e-12,2.7539321873076694e-30,-1.108251484566809e-12
17,95.62500000000003,20670.141364496434,-1527641.2689613537,-757037.1068160295,7103.086035201752,770604.1621453242,207.2834671421376,0.20219499176689654,-207.2834671421376
18,101.25000000000004,20979.671858187998,-1486933.2439064935,-736553.8440743325,7154.116100359483,750379.399832161,406.6011468879094,0.7779976124732377,-406.6011468879094
19,106.87500000000004,21477.07870953437,-1421107.1091415368,-703436.8781850219,7243.725938041504,717670.2309565148,590.293372583329,1.6397471327802373,-590.293372583329
20,112.50000000000006,22136.231380480807,-1332692.7222637823,-658966.9913339674,7377.491784633342,673725.7309298149,751.3009550107082,2.656250000000008,-751.3009550107082
21,118.12500000000007,22923.523690428236,-1225088.0299570062,-604862.7095242658,7560.91278195369,620225.3204327404,883.4364630714558,3.6727528672197796,-883.4364630714558
22,123.75000000000006,23800.425124312285,-1102428.4515805757,-543212.8031542446,7797.579852225676,559215.6484263311,981.6220032932433,4.534502387526775,-981.6220032932433
23,129.37500000000009,24726.221380094008,-969427.9220972158,-476394.5593109894,8087.4179048570395,493033.3627862264,1042.0843604284332,5.1103050082331105,-1042.0843604284332
24,135.00000000000009,25660.647038527764,-831197.7083333315,-406981.1884100561,8425.315525308486,424216.5199232754,1062.5000000000005,5.3125,-1062.5000000000005
25,140.62500000000009,26566.1465834697,-693049.9659077006,-337642.1115936687,8800.40386310648,355407.8543140319,1042.084360428432,5.1103050082331,-1042.084360428432
26,146.25000000000009,27409.56823733964,-560293.5890633648,-271040.08647211065,9196.152118196162,289253.50259125413,981.6220032932415,4.534502387526757,-981.6220032932415
27,151.87500000000009,28163.187367304636,-438030.1998459026,-209729.16874319516,9591.32500779234,228301.03110270746,883.4364630714529,3.672752867219754,-883.4364630714529
28,157.50000000000009,28805.058284541126,-330958.1155828391,-156057.38683273373,9961.716367169467,174900.7287501054,751.3009550107045,2.656249999999982,-751.3009550107045
29,163.1250000000001,29318.78956277673,-243191.82504626352,-112077.74402965243,10282.452575818088,131114.08101661108,590.2933725833245,1.6397471327802133,-590.2933725833245
30,168.7500000000001,29692.91411020435,-178103.9061821701,-79470.78015239502,10530.568232824297,98633.12602977507,406.6011468879045,0.7779976124732191,-406.6011468879045
31,174.37500000000014,29920.07000198413,-138195.45505677676,-59481.44677761649,10687.508500440348,78714.00827916028,207.28346714213234,0.2021949917668865,-207.28346714213234
32,180.0000000000001,29996.215352914587,-125000.0,-52872.5,10741.215352914587,72127.5,-4.293648496202679e-12,9.323012847298996e-29,4.293648496202679e-12
33,185.6250000000001,29920.07000198413,-139024.58892534644,-59896.01371190132,10687.50850044034,79128.57521344512,-207.28346714214075,0.20219499176690353,207.28346714214075
34,191.25000000000014,29692.914110204307,-179730.31076972405,-80283.98244617201,10530.56823282429,99446.32832355204,-406.60114688791214,0.7779976124732504,406.60114688791214
35,196.87500000000014,29318.7895627767,-245552.9985366002,-113258.33077482079,10282.452575818073,132294.66776177942,-590.2933725833316,1.639747132780254,590.2933725833316
