"angle","fre_sum","freq_diff","freq_1D","freq_2D"
309.6,22969.3386002802,2464349.13781253,1243659.23820641,-1220689.89960613
313.2,24307.6047929199,2336941.50179773,1180624.55329533,-1156316.94850241
316.8,25677.5454279073,2208516.92488443,1117097.23515617,-1091419.68972826
320.4,27057.5557230661,2081100.81967183,1054079.18769745,-1027021.63197438
324,28424.8897886379,1956702.74092411,992563.815356372,-964138.925567734
327.6,29756.081065262,1837284.69037856,933520.385721909,-903764.304656647
331.2,31027.4319708582,1724730.17066002,877878.80131544,-846851.369344582
334.8,32215.5575216599,1620814.47637248,826515.016947069,-794299.459425409
338.4,33297.9636789821,1527176.69090841,780237.327293695,-746939.363614713
342,34253.6381339515,1445293.83060728,739773.734370617,-705520.096236665
345.6,35063.6293818885,1376457.54403256,705760.586707224,-670696.957325335
349.2,35711.5893902383,1321753.73385805,678732.661624144,-643021.072233906
352.799999999999,36184.2559835382,1282045.42279415,659114.839388843,-622930.583405304
356.4,36471.8532275725,1257959.13386777,647215.493547669,-610743.640320097
359.999999999999,36568.3914826245,1249875,643221.695741312,-606653.304258688
